Topic	Text
Economy	All right.
Economy	So with that business out of the way, we want to get to it.
Economy	And we’ll start this evening with Senator Elizabeth Warren., Senator, good evening to you.
Economy	Thank you.
Economy	Good to be here.
	
Guns	OK, thank you, Senator Warren.
Guns	You didn’t address — do you think the federal government needs to go and figure out a way to get the guns that are already out there?
Guns	What I think we need to do is we need to treat it like a serious research problem, which we have not done.
Guns	You know, guns in the hands of a collector who’s had them for decades, who’s never fired them, who takes safety seriously, that’s very different from guns that are sold and turned over quickly.
Guns	We can’t treat this as an across-the-board problem.
Guns	We have to treat it like a public health emergency.
Guns	That means bring data to bear and it means make real change in this country, whether it’s politically popular or not.
Guns	Thank you, Senator.
Guns	Senator Booker, you have a program…
Guns	We need to fight for our children.
Guns	Senator Booker, you have a federal government buyback program in your plan.
Guns	How is that going to work?
Guns	Well, first of all, I want to say, my colleague and I both have been hearing this on the campaign trail.
Guns	But what’s even worse is I hear gunshots in my neighborhood.
Guns	I think I’m the only one — I hope I’m the only one on this panel here that had seven people shot in their neighborhood just last week.
Guns	Someone I knew, Shahad Smith, was killed with an assault rifle at the top of my block last year.
Guns	For millions of Americans, this is not a policy issue.
Guns	This is an urgency.
Guns	And for those that have not been directly affected, they’re tired of living in country where their kids go to school to learn about reading, writing, and arithmetic, and how to deal with an active shooter in their school.
Guns	This is something that I’m tired of.
Guns	And I’m tired of hearing people all, they have to offer is thoughts and prayers.
Guns	In my faith, people say faith without works is dead.
Guns	So we will find a way.
Guns	But the reason we have a problem right now is we’ve let the corporate gun lobby frame this debate.
Guns	It is time that we have bold actions and a bold agenda.
Guns	I will get that done as president of the United States because this is not about policy.
Guns	This is personal.
Guns	Thank you, Senator Booker.
Guns	Secretary Castro, I’d like to talk to you about something that Senator Booker just mentioned there, the idea of active shooter drills in schools, as school shootings seem like an almost everyday or every week occurrence now.
Guns	They don’t make a complete news cycle anymore, no matter the death toll.
Guns	As parents are so afraid as their kids go off to school that their kids will be caught up in something like this, next to nothing has changed in federal law that might affect the prevalence of school shootings.
Guns	Is this a problem that is going to continue to get worse over our lifetimes?
Guns	Or is there something that you would do as president that you really think would turn it around?
Guns	You know, Rachel, I am the dad of a 10-year-old girl, Carina, who’s here tonight.
Guns	And the worst thing is knowing that your child might be worried about what could happen at school, a place that’s supposed to be safe.
Guns	The answer to your question is no.
Guns	We don’t have to accept that.
Guns	And I believe that, on January 20, 2021, at 12:01 p.m., we’re going to have a Democratic president, a Democratic House, and a Democratic Senate.
Guns	And the activists of Parkland, folks from Moms Demand who have risen up across the United States and inspired so many people… … you know, we may not have seen yet legislative action, but we’re getting closer.
Guns	The House took a vote.
Guns	In the Senate, the question often is, if the decision is between 60 votes, a filibuster, or passing commonsense gun reform, I’m going to choose commonsense gun reform.
Guns	So I believe that we’re going to be able to get that done in 2021.
Guns	Secretary Castro, thank you.
Guns	Rachel, I have something to add to this briefly, because…
Guns	We’ll give you — it’ll be 30 seconds for a follow-up on that question — on that answer from Secretary Castro.
Guns	Congressman Ryan?
Guns	You’re talking about in the schools.
Guns	These kids are traumatized.
Guns	I support all the gun reforms here.
Guns	We need to start dealing with the trauma that our kids have.
Guns	We need trauma-based care in every school.
Guns	We need social and emotional learning in every school.
Guns	Ninety percent of the shooters who do school shootings come from the school they’re in, and 73 percent of them feel shamed, traumatized, or bullied.
Guns	We need to make sure that these kids feel connected to the school.
Guns	That means a mental health counselor in every single school in the United States.
Guns	We need to start playing offense.
Guns	If our kids are so traumatized that they’re getting a gun and going into our schools, we’re doing something wrong, too, and we need reform around trauma-based care.
Guns	Thank you, Congressman Ryan.
Guns	Congressman O’Rourke, you’re a Texan who’s campaigned — you campaigned all over the state in 2018 in the most conservative parts there.
Guns	What do you tell a gun owner who may agree with you on everything else, OK, but says, you know what, the Democrats, if I vote for them in there, they’re going to take my gun away, and even though I agree with you on all these other issues — how do you have that conversation?
Guns	Here’s how we have that conversation in Texas.
Guns	I shared with them what I learned from those students who survived the Santa Fe high school shooting, a young student named Bree.
Guns	Her friend, Marcel, who survived another shooting, the mother of a victim who lost her life, Rhonda Hart, they talked about universal background checks, where you close every loophole.
Guns	We know that they save lives.
Guns	We talked about ending the sales of assault weapons into our communities.
Guns	Those weapons of war were designed to kill people as effectively and as efficiently as possible.
Guns	They should belong on the battlefield and not in our communities.
Guns	Red flag laws, so if someone poses a danger to themselves or to someone else, they’re stopped before it’s too late.
Guns	And what I found in each one of those 254 counties is that Democrats and independents and Republicans, gun-owners and non-gun-owners alike, agreed.
Guns	But this effort must be led by the young people that you referenced at the beginning of this issue.
Guns	Those students from Marjory Stoneman Douglas led the charge here in Florida, and they’ve been able to change those laws.
Guns	They’re making our democracy work, ensuring that our values and our interests and our priorities are reflected in the laws that we pass.
Guns	Thank you, Congressman O’Rourke.
Guns	Hang on.
Guns	Let me give 30 seconds, Senator Klobuchar, the iron range.
Guns	I’m curious.
Guns	Gun confiscation, right?
Guns	If the government is buying back, how do you not have that conversation?
Guns	Well, that’s not confiscation.
Guns	You could give them the offer to buy back their gun.
Guns	But I’ll say this.
Guns	I look at these proposals and I say, does this hurt my Uncle Dick and his deer stand, coming from a proud hunting and fishing state?
Guns	These proposals don’t do that.
Guns	When I was a prosecutor, I supported the assault weapons ban.
Guns	When I was in the Senate, I saw those moms from Sandy Hook come and try to advocate for change, and we all failed.
Guns	And then now these Parkland kids from Florida, they started literally a national shift.
Guns	You know why?
Guns	It’s just like with gay marriage.
Guns	When kids talked to their parents and their grandparents, they say I don’t understand why we can’t put these sensible things in place, they listen.
Guns	And if we get bested by a bunch of 17-year-olds…
Guns	All right, Senator, thank you.
Guns	… it’s the best thing that ever happened.
Guns	We need to get…
Guns	Senator, thank you.
Guns	Senator, thank you.
Guns	Senator Booker, let me go to you on another matter actually.
Guns	We’ve got to…
	
Mitch McConnell	I’m going to get to — I’m going to get a couple of you in here.
Mitch McConnell	I’m going to get a couple of you in here.
Mitch McConnell	Thirty seconds, Congressman Delaney, you seem to believe you can do everything in a bipartisan manner.
Mitch McConnell	Mitch McConnell doesn’t operate that way.
Mitch McConnell	He operates differently.
Mitch McConnell	Why do you think he is going to conform to your style?
Mitch McConnell	I think we need to get things done.
Mitch McConnell	That’s why I believe we need to operate in a bipartisan manner.
Mitch McConnell	Listen, I will sign into law bills that come to the White House that are passed on a party-line basis, absolutely.
Mitch McConnell	But all the big transformative things we’ve ever done in this country’s history have happened when huge majorities of the American people get behind them, which is why we need real solutions, not impossible promises.
Mitch McConnell	We need to put forth ideas that work, whether it’s on health care, creating universal health care so that every American gets health care, but not running on making private insurance illegal.
Mitch McConnell	The gun issue is related.
Mitch McConnell	The gun safety issue is related, because I can’t tell you how many times I’ve been with folks in Western Maryland, and they’ve said to me, you know, Democrats don’t do anything for us, Republicans don’t do anything for us.
Mitch McConnell	You fight all the time, so they vote on that single issue.
Mitch McConnell	OK.
Mitch McConnell	If we become the party of getting things done for the American people, with real solutions and not impossible promises, we’ll be able to get all these things done.
Mitch McConnell	I promised…
