RowID	Speaker	SpeakerInfo	Question	Topic	Text
14	WARREN	Candidate	1.0	Economy	So I think of it this way. Who is this economy really working for? It’s doing great for a thinner and thinner slice at the top. It’s doing great for giant drug companies. It’s just not doing great for people who are trying to get a prescription filled. It’s doing great for people who want to invest in private prisons, just not for the African-Americans and Latinos whose families are torn apart, whose lives are destroyed, and whose communities are ruined. It’s doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us. When you’ve got a government, when you’ve got an economy that does great for those with money and isn’t doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country.
201	WARREN	Candidate	15.0	Guns	So, in this period of time that I have been running for president, I’ve had more than 100 town halls. I’ve taken more than 2,000 unfiltered questions. And the single hardest questions I’ve gotten, I got one from a little boy and I got one from a little girl, and that is to say, when you’re president, how are you going to keep us safe? That’s our responsibility as adults. Seven children will die today from gun violence, children and teenagers. And they won’t just die in mass shootings. They’ll die on sidewalks, they’ll die in playgrounds, they’ll die in people’s backyards. Gun violence is a national health emergency in this country. And we need to treat it like that. So what can we do? We can do the things that are sensible. We can do the universal background checks. We can ban the weapons of war. But we can also double down on the research and find out what really works, where it is that we can make the differences at the margins that will keep our children safe. We need to treat this like the virus that’s killing our children.
237	WARREN	Candidate	17.0	Mitch McConnell	I do. We are democracy. And the way a democracy is supposed to work is the will of the people matters. Now, we have for far too long have had a Congress in Washington that has just completely dismissed what people care about across this country. They have made this country work much better than for those who can make giant contributions, made it work better for those who hire armies of lobbyists and lawyers, and not made it work for the people. Well, here’s how I see this happening. Number one, sure, I want to see us get a Democratic majority in the Senate. But short of a Democratic majority in the Senate, you better understand the fight still goes on. It starts in the White House, and it means that everybody we energize in 2020 stays on the frontlines come January 2021. We have to push from the outside, have leadership from the inside, and make this Congress reflect the will of the people.
251	INSLEE	Candidate	18.0	Climate Change	Yes, first by taking away the filibuster from Mitch McConnell, to start with. We have to do that. Look it, look it, we are the first generation to feel the sting of climate change, and we are the last that can do something it. Our towns are burning. Our fields are flooding. Miami is inundated. And we have to understand, this is a climate crisis, an emergency (OFF-MIKE) this is our last chance in the administration, next one, to do something about it. And we need to do what I’ve done in my state. We’ve passed a 100 percent clean electrical grid bill. We now have a vision statement. And my plan has been called the gold standard of putting people to work. But the most important thing on this, in the biggest decision for the American public is, who is going to make this the first priority? And I am the candidate and the only one who’s saying this has to be the top priority of the United States, the organizing principle to mobilize the United States, so that we can do what we’ve always done, lead the world and invent the future and put 8 million people to work. That’s what we’re going to do.
348	O’ROURKE	Candidate	22.0	Impeachment	One of the most powerful pieces of art in the United States Capitol is the Trumbull painting of General George Washington resigning his commission to the Continental Congress, at the height of his power, submitting to the rule of law and the will of people. That has withstood the test of time for the last 243 years. If we set another precedent now that a candidate who invited the participation of a foreign power, a president who sought to obstruct the investigation into the invasion of our democracy, if we allow him to get away with this with complete impunity, then we will have set a new standard, and that is that some people, because of the position of power and public trust that they hold, are above the law. And we cannot allow that to stand. So we must begin impeachment now so that we have the facts and the truth and we follow them as far as they go and as high up as they reach and we save this democracy. And if we’ve not been able to do that in this year or the year that follows, and under my administration, our Department of Justice will pursue these facts and ensure that there are consequences, there is accountability, and there is justice. It’s the only way that we save this country.
459	BUTTIGIEG	Candidate	4.0	Buttigieg on why he doesn’t support free college	Sure. So, college affordability is personal for us. Chasten and I have six figure student debt. I believe in reducing student debt. It’s logical to me that if you can refinance your house you ought to be able to refinance your student debt. I also believe in free college for low and middle income students for whom cost could be a barrier. I just don’t believe it makes sense to ask working class families to subsidize even the children of billionaires. I think the children of the wealthiest Americans can pay at least a little bit of tuition. And while I want — want tuition costs to go down I don’t think we can buy down every last penny for that. Now, there’s something else that doesn’t get talked about in the college affordability debate. Yes, it needs to be more affordable in this country to go to college. It also needs to be more affordable in this country to not go to college. You should be able to live well, afford rent, be generous to your children– (INAUDIBLE) little league whether you went to college or not. That’s one of many reasons we need to raise the minimum wage to at least $15.00 an hour.
510	GILLIBRAND	Candidate	7.0	Candidates weigh in on healthcare	So, this is a very important issue. So, the plan that Senator Sanders and I and other support Medicare for All is how you get to single payer, but it has a buy in transition period, which is really important. In 2005 when I ran for Congress in a two to one republican district, I actually ran on Medicare for All and I won that two to one republican district twice. And the way I formulated it was simple. Anyone who doesn’t have access to insurance they like, they could buy it in a percentage of income they could afford. So, that’s what we put into the transition period for our Medicare for All Plan. I believe we need to get to universal healthcare as a right, not a privilege to single payer. The quickest way you get there is you create competition with the insurers. God bless the insurers if they want to compete, they can certainly try. But, they’d never put people over their profits and I doubt they ever will. So, what will happen is people will choose Medicare. You will transition. We would get to Medicare for All. And then your step to single payer is so short. I would make it an earned benefit just like Social Security, so that you buy in your whole life. It is always there for you and it’s permanent and it’s universal.
584	HARRIS	Candidate	8.0	Candidates on how they would address undocumented immigrants	Immediately on January 20th of 2021 I will first of all we cannot forget our DACA recipients so I’m going to start there. I will immediately by executive action reinstate DACA status and DACA protection to those young people. I will further extend protection for deferral of deportation for their parents and for veterans who we have so many who are undocumented and who have served our country and fought for our democracy. I will also immediately put in place immediate process for reviewing the cases for asylum. I will release children from cages. I will get rid of the private detention centers. And I will ensure that the–this microphone that the President of the United States holds in her hand is use din a way that is about reflecting the values of our country and not about locking children up, separating them from their parents. And I have to just say that we have to think about this issue in terms of real people. A mother who pays a coyote to transport her child through their country of origin, through the entire country of Mexico facing unknown peril to come here why would that mother do that? I will tell you. Because she has decided for that child to remain where they are is worse. But what does Donald Trump do? He says go back to where you came from. That is not reflective of our America and our values and it has got to end.
688	HARRIS	Candidate	12.0	Sen. Harris dramatically confronts Biden on his civil rights record	Okay. So, on the issue of race, I couldn’t agree more that this is an issue that is still not being talked about truthfully and honestly. I–there is not a black man I know, be he a relative, a friend or a coworker who has not been the subject of some form of profiling or discrimination. Growing up, my sister and I had to deal with the neighbor who told us her parents couldn’t play with us because she–because we were black. And I will say also that–that in this campaign, we’ve also heard–and I’m going to now direct this to Vice President Biden. I do not believe you are a racist and I agree with you when you commit yourself to the importance of finding common ground.
16	KLOBUCHAR	Candidate	2.0	Klobuchar's rivals programs	Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums. So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education. My own dad and my sister got their first degrees with community college. There’s many paths to success, as well as certifications. Secondly, I’d used Pell grants. I’d double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000. And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans.
