Topic	Text
Economy	So I think of it this way.
Economy	Who is this economy really working for?
Economy	It’s doing great for a thinner and thinner slice at the top.
Economy	It’s doing great for giant drug companies.
Economy	It’s just not doing great for people who are trying to get a prescription filled.
Economy	It’s doing great for people who want to invest in private prisons, just not for the African-Americans and Latinos whose families are torn apart, whose lives are destroyed, and whose communities are ruined.
Economy	It’s doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us.
Economy	When you’ve got a government, when you’ve got an economy that does great for those with money and isn’t doing great for everyone else, that is corruption, pure and simple.
Economy	We need to call it out.
Economy	We need to attack it head on.
Economy	And we need to make structural change in our government, in our economy, and in our country.
	
Guns	So, in this period of time that I have been running for president, I’ve had more than 100 town halls.
Guns	I’ve taken more than 2,000 unfiltered questions.
Guns	And the single hardest questions I’ve gotten, I got one from a little boy and I got one from a little girl, and that is to say, when you’re president, how are you going to keep us safe?
Guns	That’s our responsibility as adults.
Guns	Seven children will die today from gun violence, children and teenagers.
Guns	And they won’t just die in mass shootings.
Guns	They’ll die on sidewalks, they’ll die in playgrounds, they’ll die in people’s backyards.
Guns	Gun violence is a national health emergency in this country.
Guns	And we need to treat it like that.
Guns	So what can we do?
Guns	We can do the things that are sensible.
Guns	We can do the universal background checks.
Guns	We can ban the weapons of war.
Guns	But we can also double down on the research and find out what really works, where it is that we can make the differences at the margins that will keep our children safe.
Guns	We need to treat this like the virus that’s killing our children.
	
Mitch McConnell	I do.
Mitch McConnell	We are democracy.
Mitch McConnell	And the way a democracy is supposed to work is the will of the people matters.
Mitch McConnell	Now, we have for far too long have had a Congress in Washington that has just completely dismissed what people care about across this country.
Mitch McConnell	They have made this country work much better than for those who can make giant contributions, made it work better for those who hire armies of lobbyists and lawyers, and not made it work for the people.
Mitch McConnell	Well, here’s how I see this happening.
Mitch McConnell	Number one, sure, I want to see us get a Democratic majority in the Senate.
Mitch McConnell	But short of a Democratic majority in the Senate, you better understand the fight still goes on.
Mitch McConnell	It starts in the White House, and it means that everybody we energize in 2020 stays on the frontlines come January 2021.
Mitch McConnell	We have to push from the outside, have leadership from the inside, and make this Congress reflect the will of the people.
	
Climate Change	Yes, first by taking away the filibuster from Mitch McConnell, to start with.
Climate Change	We have to do that.
Climate Change	Look it, look it, we are the first generation to feel the sting of climate change, and we are the last that can do something it.
Climate Change	Our towns are burning.
Climate Change	Our fields are flooding.
Climate Change	Miami is inundated.
Climate Change	And we have to understand, this is a climate crisis, an emergency (OFF-MIKE) this is our last chance in the administration, next one, to do something about it.
Climate Change	And we need to do what I’ve done in my state.
Climate Change	We’ve passed a 100 percent clean electrical grid bill.
Climate Change	We now have a vision statement.
Climate Change	And my plan has been called the gold standard of putting people to work.
Climate Change	But the most important thing on this, in the biggest decision for the American public is, who is going to make this the first priority?
Climate Change	And I am the candidate and the only one who’s saying this has to be the top priority of the United States, the organizing principle to mobilize the United States, so that we can do what we’ve always done, lead the world and invent the future and put 8 million people to work.
Climate Change	That’s what we’re going to do.
	
Impeachment	One of the most powerful pieces of art in the United States Capitol is the Trumbull painting of General George Washington resigning his commission to the Continental Congress, at the height of his power, submitting to the rule of law and the will of people.
Impeachment	That has withstood the test of time for the last 243 years.
Impeachment	If we set another precedent now that a candidate who invited the participation of a foreign power, a president who sought to obstruct the investigation into the invasion of our democracy, if we allow him to get away with this with complete impunity, then we will have set a new standard, and that is that some people, because of the position of power and public trust that they hold, are above the law.
Impeachment	And we cannot allow that to stand.
Impeachment	So we must begin impeachment now so that we have the facts and the truth and we follow them as far as they go and as high up as they reach and we save this democracy.
Impeachment	And if we’ve not been able to do that in this year or the year that follows, and under my administration, our Department of Justice will pursue these facts and ensure that there are consequences, there is accountability, and there is justice.
Impeachment	It’s the only way that we save this country.
	
Buttigieg on why he doesn’t support free college	Sure.
Buttigieg on why he doesn’t support free college	So, college affordability is personal for us.
Buttigieg on why he doesn’t support free college	Chasten and I have six figure student debt.
Buttigieg on why he doesn’t support free college	I believe in reducing student debt.
Buttigieg on why he doesn’t support free college	It’s logical to me that if you can refinance your house you ought to be able to refinance your student debt.
Buttigieg on why he doesn’t support free college	I also believe in free college for low and middle income students for whom cost could be a barrier.
Buttigieg on why he doesn’t support free college	I just don’t believe it makes sense to ask working class families to subsidize even the children of billionaires.
Buttigieg on why he doesn’t support free college	I think the children of the wealthiest Americans can pay at least a little bit of tuition.
Buttigieg on why he doesn’t support free college	And while I want — want tuition costs to go down I don’t think we can buy down every last penny for that.
Buttigieg on why he doesn’t support free college	Now, there’s something else that doesn’t get talked about in the college affordability debate.
Buttigieg on why he doesn’t support free college	Yes, it needs to be more affordable in this country to go to college.
Buttigieg on why he doesn’t support free college	It also needs to be more affordable in this country to not go to college.
Buttigieg on why he doesn’t support free college	You should be able to live well, afford rent, be generous to your children– (INAUDIBLE) little league whether you went to college or not.
Buttigieg on why he doesn’t support free college	That’s one of many reasons we need to raise the minimum wage to at least $15.00 an hour.
	
Candidates weigh in on healthcare	So, this is a very important issue.
Candidates weigh in on healthcare	So, the plan that Senator Sanders and I and other support Medicare for All is how you get to single payer, but it has a buy in transition period, which is really important.
Candidates weigh in on healthcare	In 2005 when I ran for Congress in a two to one republican district, I actually ran on Medicare for All and I won that two to one republican district twice.
Candidates weigh in on healthcare	And the way I formulated it was simple.
Candidates weigh in on healthcare	Anyone who doesn’t have access to insurance they like, they could buy it in a percentage of income they could afford.
Candidates weigh in on healthcare	So, that’s what we put into the transition period for our Medicare for All Plan.
Candidates weigh in on healthcare	I believe we need to get to universal healthcare as a right, not a privilege to single payer.
Candidates weigh in on healthcare	The quickest way you get there is you create competition with the insurers.
Candidates weigh in on healthcare	God bless the insurers if they want to compete, they can certainly try.
Candidates weigh in on healthcare	But, they’d never put people over their profits and I doubt they ever will.
Candidates weigh in on healthcare	So, what will happen is people will choose Medicare.
Candidates weigh in on healthcare	You will transition.
Candidates weigh in on healthcare	We would get to Medicare for All.
Candidates weigh in on healthcare	And then your step to single payer is so short.
Candidates weigh in on healthcare	I would make it an earned benefit just like Social Security, so that you buy in your whole life.
Candidates weigh in on healthcare	It is always there for you and it’s permanent and it’s universal.
	
Candidates on how they would address undocumented immigrants	Immediately on January 20th of 2021 I will first of all we cannot forget our DACA recipients so I’m going to start there.
Candidates on how they would address undocumented immigrants	I will immediately by executive action reinstate DACA status and DACA protection to those young people.
Candidates on how they would address undocumented immigrants	I will further extend protection for deferral of deportation for their parents and for veterans who we have so many who are undocumented and who have served our country and fought for our democracy.
Candidates on how they would address undocumented immigrants	I will also immediately put in place immediate process for reviewing the cases for asylum.
Candidates on how they would address undocumented immigrants	I will release children from cages.
Candidates on how they would address undocumented immigrants	I will get rid of the private detention centers.
Candidates on how they would address undocumented immigrants	And I will ensure that the–this microphone that the President of the United States holds in her hand is use din a way that is about reflecting the values of our country and not about locking children up, separating them from their parents.
Candidates on how they would address undocumented immigrants	And I have to just say that we have to think about this issue in terms of real people.
Candidates on how they would address undocumented immigrants	A mother who pays a coyote to transport her child through their country of origin, through the entire country of Mexico facing unknown peril to come here why would that mother do that?
Candidates on how they would address undocumented immigrants	I will tell you.
