label	text
1	All right.
1	So with that business out of the way, we want to get to it.
1	And we’ll start this evening with Senator Elizabeth Warren., Senator, good evening to you.
1	Thank you.
1	Good to be here.
1	OK, thank you, Senator Warren.
1	You didn’t address — do you think the federal government needs to go and figure out a way to get the guns that are already out there?
1	What I think we need to do is we need to treat it like a serious research problem, which we have not done.
1	You know, guns in the hands of a collector who’s had them for decades, who’s never fired them, who takes safety seriously, that’s very different from guns that are sold and turned over quickly.
1	We can’t treat this as an across-the-board problem.
1	We have to treat it like a public health emergency.
1	That means bring data to bear and it means make real change in this country, whether it’s politically popular or not.
1	Thank you, Senator.
1	Senator Booker, you have a program…
1	We need to fight for our children.
1	Senator Booker, you have a federal government buyback program in your plan.
1	How is that going to work?
1	Well, first of all, I want to say, my colleague and I both have been hearing this on the campaign trail.
1	But what’s even worse is I hear gunshots in my neighborhood.
1	I think I’m the only one — I hope I’m the only one on this panel here that had seven people shot in their neighborhood just last week.
1	Someone I knew, Shahad Smith, was killed with an assault rifle at the top of my block last year.
1	For millions of Americans, this is not a policy issue.
1	This is an urgency.
1	And for those that have not been directly affected, they’re tired of living in country where their kids go to school to learn about reading, writing, and arithmetic, and how to deal with an active shooter in their school.
1	This is something that I’m tired of.
1	And I’m tired of hearing people all, they have to offer is thoughts and prayers.
1	In my faith, people say faith without works is dead.
1	So we will find a way.
1	But the reason we have a problem right now is we’ve let the corporate gun lobby frame this debate.
1	It is time that we have bold actions and a bold agenda.
1	I will get that done as president of the United States because this is not about policy.
1	This is personal.
1	Thank you, Senator Booker.
1	Secretary Castro, I’d like to talk to you about something that Senator Booker just mentioned there, the idea of active shooter drills in schools, as school shootings seem like an almost everyday or every week occurrence now.
1	They don’t make a complete news cycle anymore, no matter the death toll.
1	As parents are so afraid as their kids go off to school that their kids will be caught up in something like this, next to nothing has changed in federal law that might affect the prevalence of school shootings.
1	Is this a problem that is going to continue to get worse over our lifetimes?
1	Or is there something that you would do as president that you really think would turn it around?
1	You know, Rachel, I am the dad of a 10-year-old girl, Carina, who’s here tonight.
1	And the worst thing is knowing that your child might be worried about what could happen at school, a place that’s supposed to be safe.
1	The answer to your question is no.
1	We don’t have to accept that.
