RowID	Topic	Speaker	Text
27	COVID-19	TRUMP	I take full responsibility. It's not my fault that it came here. It's China's fault. You know what, it's not Joe's fault that it came here either. It's China's fault. They kept it from going into the rest of China, for the most part, but they didn't keep it from coming out to the world including Europe and ourselves
82	National Security	BIDEN	Why do he — He's been saying this for four years. Show us. Just show us. Stop playing around. You’ve been saying for four years you’re going to release your taxes. Nobody knows, Mr. President, they do know is you're not paying your taxes or you're paying taxes that are so low. When last time he said what he paid, he said, ‘I only pay that little because I'm smart. I know how to game the system.’ Come on, come on, folks.
204	Economy	BIDEN	Two jobs, one job below poverty. People are making 6, 7, 8 bucks an hour. These first responders we all clap for as they come down the street, because they've allowed us to make it. What's happening? They deserve a minimum wage of $15. Anything below that put you below the poverty level. And there is no evidence that when you raise the minimum wage, business has gone out of business. That is simply not true.
74	National Security	TRUMP	First of all, I called my accounts — under audit. I'm going to release them as soon as we can. I want to do it, and it will show how successful, how great this company is. But much more importantly than that, people were saying $750. I asked them a week ago, I said, what did I pay? They said, sir, you pre-paid tens of millions of dollars. I prepaid my tax. Tens. Over the last number of years. Tens of millions of dollars, I prepaid, because at some point, they think, it's an estimate. They think I may have to pay tax. So, I already prepaid it. Nobody told me that.
251	Race in America	TRUMP	You were vice president. You keep talking about all these things you're going to do and you're going to do this. But you were there just a short time ago and you guys did nothing.
141	National Security	WELKER	Let’s move on and talk about American families.
295	Race in America	WELKER	All right, we’re gonna move on to our next section which is climate change-
72	National Security	BIDEN	I have not taken a penny from any foreign source ever in my life. We learn that this President paid 50 times the tax in China, as a secret bank account with China, does business in China, and in fact, is talking about me taking money? I have not taken a single penny from any country whatsoever, ever, number one. Number two, this is a president — I have released all of my tax returns. 22 years. Go look at them. 22 years of my tax return. You have not released a single solitary year of your tax return. What are you hiding? Why are you unwilling? The foreign countries are paying you a lot. Russia is paying you a lot. China is paying a lot. And your hotels and all your businesses all around the country, all around the world. And China's building a new road to a new gas… a golf course you have overseas. So what's going on here? Why don't you release your tax return or stop talking about corruption?
249	Race in America	TRUMP	But why didn't he do it four years ago? Why didn't you do that four years ago, even less than that? Why didn't you--
209	Immigration	WELKER	Do you have a plan to reunite the kids?
161	Economy	TRUMP	When he says public health option, he is talking about socialized medicine and health care. When he talks about a public option, he's talking about destroying your Medicare, totally destroying -- he’s destroying your Social Security. And this whole country will come down. You know, Bernie Sanders tried it in his state. His governor was a very liberal governor, they wanted to make it work --
57	COVID-19	TRUMP	When you say spike, take a look at what's happening in Pennsylvania, where they've had it closed. Take a look at what's happening with your friend in Michigan, where her husband's the only one allowed to do anything. It's been like a prison. Now it was just ruled unconstitutional. Take a look at North Carolina. They're having spikes and they've been closed, and they're getting killed financially. We can't let that happen, Joe, you can't let that happen. We have to open up and we understand that disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them. We have the best testing in the world by far. That's why we have so many cases.
76	National Security	TRUMP	Excuse me. And it wasn't written whenever they write this. They keep talking about $750, which I think is a filing fee. But let me just tell you, I prepaid millions and millions of dollars in taxes, number one. Number two, I don't make money from China, you do. I don't make money from Ukraine, you do. I don't make money from Russia. You made three and a half million dollars, Joe, and your son gave you. They even have a statement that we have to give 10% to the big man. You're the big man, I think. I don't know, maybe you're not. But you're the big man, I think. You son said that we have to give 10% to the big man. Joe, what's that all about? It's terrible.
24	COVID-19	WELKER	Let me talk about —
90	National Security	TRUMP	His son didn't have a job for a long time, was sadly no longer in the military service, I won't get into that. And he didn't have a job. As soon as he became vice president, Burisma — not the best, not the best reputation in the world — I hear they paid him 183,000 a month. Listen to this, 183, and they gave him a $3 million upfront payment, and he had no energy experience. That’s 100% dishonest.
337	Climate Change	TRUMP	We actually do give it to solar and wind--
59	COVID-19	TRUMP	I'm listening to all of them, including Anthony. I get along very well with Anthony. But he did say, ‘don't wear masks.’ He did say, as you know, ‘this is not going to be a problem.’ I think he's a Democrat, but that's okay. He said, ‘this is not going to be a problem. We are not going to have a problem at all.’ When Joe says that, I said — Anthony Fauci said and others and many others. And I'm not knocking him. Nobody knew. Look, nobody knew what this thing was, nobody knew where it was coming from, what it was. We've learned a lot, but Anthony said, ‘don't wear masks.’ Now he wants to wear masks. Anthony also said, if you look back, exact words, here’s his exact words: ‘This is no problem, this is going to go away soon.’ So he's allowed to make mistakes, he happens to be a good person.
177	Economy	TRUMP	-- are through the roof. And he doesn't come from Scranton. That's like, what --  he lived there for a short period of time before he even knew --
218	Immigration	WELKER	Let me just --
34	COVID-19	BIDEN	I talked about his xenophobia in a different context. It wasn't about closing the border to Chinese coming to the United States.
81	National Security	WELKER	Respond very quickly, and then I'll get to my question.
195	Economy	WELKER	We are going to move on --
122	National Security	WELKER	All right, let’s talk —
65	COVID-19	WELKER	All right, gentlemen, we're gonna move on.
222	Immigration	WELKER	Let me ask about your immigration policy, Mr. Vice President. The Obama administration did fail to deliver immigration reform, which had been a key promise during the administration. It also presided over record deportations as well as family detentions at the border before changing course. So why should voters trust you with an immigration overhaul now?
61	COVID-19	BIDEN	My response is think about what the President knew in January and didn't tell the American people. He was told this was a serious virus that spread in the air, and it was much worse than — much worse — than the flu. He went on record and said to one of your colleagues, recorded, that in fact he knew how dangerous it was but he didn't want to tell us, didn't want to tell us because he didn't want us to panic. He didn't want us — Americans don't panic. He panicked. Well, guess what, in the meantime, we find out in the New York Times the other day that in fact, his folks went to Wall Street and said, ‘this is a really dangerous thing,’ and a memo out of that meeting — not from his administration, but from some of the brokers — had said, ‘sell short, because we gotta get moving. It's a dangerous problem.’
203	Economy	WELKER	OK, President Trump, thank you. Quick response, Vice President Biden
168	Economy	TRUMP	-- he tried to hurt Social Security years ago, years ago. Go back and look at the records. He tried to hurt Social Security you've got --
126	National Security	WELKER	We're gonna talk about North Korea now. President Trump, you've met with North Korean leader Kim Jong Un's three times. You've talked about your beautiful letters with him, you've touted the fact that there hasn't been a war or a long range missile test, and yet North Korea recently rolled out its biggest ever intercontinental ballistic missile and continues to develop its nuclear arsenal. Do you see that as a betrayal of the relationship? Just 30 seconds here because we need to get on to the next topic.
250	Race in America	BIDEN	I am not--
239	Immigration	TRUMP	But we don’t have to worry about it because I terminated it. So we don’t have to worry about it
238	Immigration	WELKER	All right, let's move on --
129	National Security	BIDEN	Because I'd make it clear, which we were making clear to China, they had to be part of the deal, because here's the root. I made it clear, as a spokesperson for the administration when I went to China, they said, ‘Why are you moving your missile defense up so close? Why are you moving more forces? Why are you continuing to do military maneuvers with South Korea?’ I said, ‘Because North Korea is a problem. And we're going to continue to do it so we can control them. We're going to make sure we can control them and make sure they can not hurt us. And so if you want to do something about it, step up. And help if not, it's going to continue.’ What has he done? He's legitimized North Korea, he's talked about his good buddy who's a thug, a thug, and he talks about how we're better off, and they have much more capable missiles, able to reach U.S. territory, much more easily than ever did before.
276	Race in America	WELKER	OK. Vice President Biden, let me ask you, very quickly, and then I have a follow up question for you.
