Topic	Text
COVID-19	President Trump, I'd like to follow up with you and your comments.
COVID-19	You talked about taking a therapeutic.
COVID-19	I assume you're referencing Regeneron.
COVID-19	You also said a vaccine will be coming within weeks.
COVID-19	Is that a guarantee?
COVID-19	It is not a guarantee but it will be by the end of the year, but I think it has a good chance.
COVID-19	One or two companies, I think, within a matter of weeks, and it will be distributed very quickly.
COVID-19	Can you tell us what companies?
COVID-19	Johnson and Johnson is doing very well.
COVID-19	Moderna is doing very well.
COVID-19	Pfizer is doing very well, and we have numerous others.
COVID-19	And then we also have others that we're working on very closely with other countries, in particular Europe.
COVID-19	Let me follow up with you, and because this is new information — You have said a vaccine is coming soon, within weeks now.
COVID-19	Your own officials say it could take well into 2021 at the earliest for enough Americans to get vaccinated, and even then they say the country will be wearing masks and distancing into 2022.
COVID-19	Is your timeline realistic?
COVID-19	No, I think my timeline is going to be more accurate.
COVID-19	I don't know that they're counting on the military the way I do, but we have our generals lined up, one in particular, that's the head of logistics.
COVID-19	And this is a very easy distribution for him.
COVID-19	He's ready to go as soon as we have the vaccine, and we expect to have 100 million vials as soon as we have the vaccine, he's ready to go.
COVID-19	Vice President Biden, your reaction?
COVID-19	Just 40% of Americans say they would definitely agree to take a coronavirus vaccine if it was approved by the government.
COVID-19	What steps would you take to give Americans confidence in a vaccine if it were approved?
COVID-19	Make sure it's totally transparent.
COVID-19	Have the scientific world see, know, look at it, go through all the processes.
COVID-19	And by the way, this is the same fellow who told you this is going to end by Easter last time.
COVID-19	This the same fellow who told you that, don't worry, we're going to end this by the summer.
COVID-19	We're about to go into a dark winter, a dark winter, and he has no clear plan and there's no prospect that there's going to be a vaccine available for the majority of the American people before the middle of next year.
COVID-19	President Trump, your reaction?
COVID-19	He says you have no plan.
COVID-19	I don’t think it’s going to be a dark winter at all.
COVID-19	We're opening up our country.
COVID-19	We've learned and studied and understand the disease, which we didn't know at the beginning.
COVID-19	When I closed and banned China from coming in heavily infected, and then ultimately Europe, but China was in January — months later he was saying I was xenophobic, I did it too soon.
COVID-19	Now he's saying, ‘Oh, I should have, I should have, you know, moved quicker.’ But he didn't move quicker; he was months behind me, many months behind me.
COVID-19	And frankly, he ran the H1N1 swine flu, and it was a total disaster.
COVID-19	Far less lethal.
COVID-19	But it was a total disaster.
COVID-19	Had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease.
COVID-19	Look, his own person who ran that for him who, as you know was his chief of staff, said ‘It was catastrophic, it was horrible, we didn't know what we were doing.’ Now he comes up and he tells us how to do this.
COVID-19	Also everything that he said about the way — every single move that he said we should make — that's what we've done, we've done all of it, but he was way behind us.
COVID-19	Vice President Biden, your response?
COVID-19	My responses is, he is xenophobic but not because he shut down access from China.
COVID-19	And he did it late, after 40 countries had already done that.
COVID-19	In addition to that, what he did, he made sure that we had 44 people that were in there, in China, trying to get to Wuhan to determine what exactly the source was.
COVID-19	What did the President say in January?
COVID-19	He said no, he said, this is — he's being transparent, the president of China is being transparent.
COVID-19	We owe hkim a debt of gratitude.
COVID-19	We have to thank him.
COVID-19	And then what happened was, we started talking about using the Defense Act, to make sure we go out and get whatever is needed out there to protect people.
COVID-19	And again, I go back to this, he had nothing.
COVID-19	He did virtually nothing.
COVID-19	And then he gets out of the hospital, and he talks about we're, this is, ‘Oh, don't worry.
COVID-19	This is all going to be over soon.’ Come on, there's not another serious scientist in the world who thinks it’s going to be over soon.
COVID-19	President Trump, your reaction?
COVID-19	I did not say over soon.
COVID-19	I say we're learning to live with it.
COVID-19	We have no choice.
COVID-19	We can't lock ourselves up in a basement like Joe does.
COVID-19	He has the ability to lock himself up.
COVID-19	I don’t know, he's obviously made a lot of money, someplace, but he has this thing about living in a basement.
COVID-19	People can’t do that.
COVID-19	By the way, I, as the president, couldn't do that.
COVID-19	I'd love to put myself in the basement or in a beautiful room in the White House and go away for a year and a half until it disappears.
COVID-19	I can't do that.
COVID-19	And here’s — every, every meeting I had — every meeting I had — and I meet a lot of families, including Gold Star families and military families, every meeting I had — and I had to meet them, I had to, it would be horrible to have canceled everything.
COVID-19	I said, you know, this is dangerous.
COVID-19	And you catch it.
COVID-19	And you know, I caught it.
COVID-19	I learned a lot.
COVID-19	I learned a lot, great doctors, great hospitals.
COVID-19	And now, I recovered.
COVID-19	99.9 of young people recover.
COVID-19	99% of people recover.
COVID-19	We have to recover.
COVID-19	We can't close up our nation, we have to open our school, and we can't close up our nation, or you're not going to have a nation.
