RowID	Topic	Speaker	Text
3	COVID-19	TRUMP	So, as you know, more 2.2 million people, modeled out, were expected to die. We closed up the greatest economy in the world in order to fight this horrible disease that came from China. It's a worldwide pandemic. It’s all over the world. You see the spikes in Europe and many other places right now. If you notice, the mortality rate is down, 85%. The excess mortality rate is way down, and much lower than almost any other country. And we're fighting it and we're fighting it hard. There is a spike. There was a spike in Florida, and it's now gone. There was a very big spike in Texas, it's now gone. There was a very big spike in Arizona, it's now gone.
3	COVID-19	TRUMP	And there were some spikes and surges in other places. They will soon be gone. We have a vaccine that's coming, it's ready. It's going to be announced within weeks, and it's going to be delivered. We have Operation Warp Speed, which is the military, is going to distribute the vaccine. I can tell you from personal experience that I was in the hospital, I had it. And I got better and I will tell you that I had something that they gave me — a therapeutic, I guess they would call it. Some people could say it was a cure. But I was in for a short period of time and I got better very fast or I wouldn't be here tonight. 
3	COVID-19	TRUMP	And now they say I'm immune. Whether it's four months or a lifetime, nobody's been able to say that, but I'm immune. More and more people are getting better. We have a problem that's a worldwide problem. This is a worldwide problem, but I've been congratulated by the heads of many countries on what we've been able to do with the — if you take a look at what we've done in terms of goggles and masks and gowns and everything else, and in particular, ventilators. We're now making ventilators. All over the world, thousands and thousands a month, distributing them all over the world, it will go away and as I say, we're rounding the turn, we're rounding the corner, it's going away.
5	COVID-19	BIDEN	220,000 Americans dead. If you hear nothing else I say tonight, hear this. Anyone who's responsible for not taking control — in fact, not saying, I take no responsibility, initially — anyone who is responsible for that many deaths should not remain as President of the United States of America. We're in a situation where there are thousands of deaths a day, a thousand deaths a day. And there are over 70,000 new cases per day. Compared to what's going on in Europe, as the New England Medical Journal said, they're starting from a very low rate.
5	COVID-19	BIDEN	We're starting from a very high rate. The expectation is we'll have another 200,000 Americans dead by the time, between now and the end of the year. If we just wore these masks — the President's own advisors told them — we could save 100,000 lives. And we're in a circumstance where the President, thus far, still has no plan. No comprehensive plan. What I would do is make sure we have everyone encouraged to wear a mask, all the time. I would make sure we move in the direction of rapid testing, investing in rapid testing.
5	COVID-19	BIDEN	I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe, and give them the wherewithal and financial resources to be able to do that. We're in a situation now where the New England Medical Journal — one of the serious, most serious journals in the whole world — said for the first time ever that this, the way this President has responded to this crisis has been absolutely tragic. And so folks, I will take care of this, I will end this, I will make sure we have a plan.
54	COVID-19	BIDEN	Take a look what New York has done in terms of turning the curve down, in terms of the number of people dying. And I don't look at this in terms of what he does, blue states and red states. They’re all the United States. And look at the states that are having such a spike in the coronavirus. They’re the red states.
54	COVID-19	BIDEN	They are the states in the Midwest, they are the states in the upper Midwest, that's where the spike is occurring significantly, but they're all Americans. They're all Americans and what we have to do is say, wear these masks, number one, make sure we get the help that the businesses need. The money's already been passed to do that. It's been out there since the beginning of this summer and nothing's happened.
68	National Security	BIDEN	I made it clear. And I asked everyone else to take the pledge. I made it clear that any country, no matter who it is, that interferes in American elections will pay a price. They will pay the price. It has been overwhelmingly clear in this election — I won't even get into the last one — this election, that Russia has been involved. China has been involved to some degree, and now we learned that, that Iran is involved. They will pay a price if I'm elected. Interfering with American sovereignty. That's what's going on right now. They're interfering with American sovereignty. And to the best of my knowledge, I don't think the President said anything to Putin about it.
68	National Security	BIDEN	I don't think he's talking a lot. I don't think he said a word. I don't know why he hasn't said a word to Putin about it. And I don't know what he has recently said, if anything, to the Iranians. My guess is he’d probably be more outspoken with regard to the Iranians. But the point is this, folks. We are in a situation where we have foreign countries trying to interfere in the outcome of our election. His own national security advisor told him that what is happening with his buddy — well, I won't, I shouldn't — I will — his buddy Rudy Giuliani. He's being used as a Russian pawn. He's being fed information that is Russian, that is not true.
68	National Security	BIDEN	And then what happens? Nothing happens. And then you find out that everything is going on here about Russia is wanting to make sure that I do not get elected the next President of the United States because they know I know them, and they know me. I don't understand why this President is unwilling to take on Putin when he's actually paying bounties to kill American soldiers in Afghanistan, when he's engaged in activities that are trying to destabilize all of NATO. I don't know why he doesn't do it but it's worth asking the question. Why isn't that being done? Any country that interferes with us will, in fact, pay a price because they're affecting our sovereignty.
