label	text
0	So, as you know, more 2.2 million people, modeled out, were expected to die.
0	We closed up the greatest economy in the world in order to fight this horrible disease that came from China.
0	It's a worldwide pandemic.
0	It’s all over the world.
0	You see the spikes in Europe and many other places right now.
0	If you notice, the mortality rate is down, 85%.
0	The excess mortality rate is way down, and much lower than almost any other country.
0	And we're fighting it and we're fighting it hard.
0	There is a spike.
0	There was a spike in Florida, and it's now gone.
0	There was a very big spike in Texas, it's now gone.
0	There was a very big spike in Arizona, it's now gone.
0	And there were some spikes and surges in other places.
0	They will soon be gone.
0	We have a vaccine that's coming, it's ready.
0	It's going to be announced within weeks, and it's going to be delivered.
0	We have Operation Warp Speed, which is the military, is going to distribute the vaccine.
0	I can tell you from personal experience that I was in the hospital, I had it.
0	And I got better and I will tell you that I had something that they gave me — a therapeutic, I guess they would call it.
0	Some people could say it was a cure.
0	But I was in for a short period of time and I got better very fast or I wouldn't be here tonight.
0	And now they say I'm immune.
0	Whether it's four months or a lifetime, nobody's been able to say that, but I'm immune.
0	More and more people are getting better.
0	We have a problem that's a worldwide problem.
0	This is a worldwide problem, but I've been congratulated by the heads of many countries on what we've been able to do with the — if you take a look at what we've done in terms of goggles and masks and gowns and everything else, and in particular, ventilators.
0	We're now making ventilators.
0	All over the world, thousands and thousands a month, distributing them all over the world, it will go away and as I say, we're rounding the turn, we're rounding the corner, it's going away.
0	220,000 Americans dead.
0	If you hear nothing else I say tonight, hear this.
0	Anyone who's responsible for not taking control — in fact, not saying, I take no responsibility, initially — anyone who is responsible for that many deaths should not remain as President of the United States of America.
0	We're in a situation where there are thousands of deaths a day, a thousand deaths a day.
0	And there are over 70,000 new cases per day.
0	Compared to what's going on in Europe, as the New England Medical Journal said, they're starting from a very low rate.
0	We're starting from a very high rate.
0	The expectation is we'll have another 200,000 Americans dead by the time, between now and the end of the year.
0	If we just wore these masks — the President's own advisors told them — we could save 100,000 lives.
0	And we're in a circumstance where the President, thus far, still has no plan.
0	No comprehensive plan.
0	What I would do is make sure we have everyone encouraged to wear a mask, all the time.
